abangan,abang
aking,akin
ako,ako
alan,alan
alas-,alas
ang,ang
araw,araw
araw-araw,araw
at,at
ay,ay
ayon,ayon
babae,babae
bagyo,bagyo
bahagya,bahagya
baka,baka
bansa,bansa
batay,batay
bawat,bawat
beses,beses
bilang,bilang
binabayo,bayo
bundok,bundok
buong,buo
burias,burias
daan-daang,daan
dahil,dahil
dahilan,dahil
dakong,dako
dapat,dapat
din,din
direksiyon,direksiyon
direktang,direkta
dito,dito
ed,ed
estudyante,estudyante
garbo,garbo
gayunman,gayunman
habang,habang
hagupit,hagupit
halos,halos
hamon,hamon
hanggang,hanggan
hangin,hangin
hepe,hepe
hindi,hindi
iba,iba
ibang,iba
ikinokonsidera,konsidera
ilalim,lalim
ilang,ilan
iligtas,ligtas
inilikas,likas
ipinatikim,tikim
isang,isa
isinagawang,gawa
itatalaga,talaga
ka,ka
kababayan,bayan
kabataan,bata
kabataang,bata
kabikulan,bicol
kahit,kahit
kamag-anak,kamag-anak
kamaynilaan,maynila
kampante,kampante
kandidato,kandidato
kanilang,kanila
karamihan,dami
kasama,sama
kasing,kasi
katsokaran,tsokaran
kausap,usap
kay,kay
kaya,kaya
kilometro,kilometro
kina,kina
kinansela,kansela
kinapanayam,panayam
ko,ko
kong,ko
kumusta,kumusta
kundi,kundi
kung,kung
kuno,kuno
kuwalipikasyon,kuwalipikasyon
kuwenta,kuwenta
lahat,lahat
lakas,lakas
lalaki,lalaki
laman,laman
lamang,lamang
lang,lang
listahan,lista
lubang,luba
lugar,lugar
lumikas,likas
maagang,aga
maaring,ari
mag-iba,iba
mag-text,text
maganda,ganda
maging,maging
magkikita,kita
magsimulang,simula
makaiwas,iwas
makakaranas,danas
malakas,lakas
malaki,laki
malapit,lapit
mapagmasid,masid
mapipremyuhan,premyo
mar,mar
mas,mas
mata,mata
mataas,taas
matinding,tindi
maugong,ugong
may,may
metro,metro
mga,mga
milyon,milyon
minimithing,mithi
minsan,minsan
miyembro,miyembro
na,na
nagbabala,babala
nagbago,bago
nagbagsakan,bagsak
nagdulot,dulot
naging,nag
naia,naia
naiulat,ulat
nakakasiguro,siguro
nakaraang,nakaraan
nakataas,taas
naman,naman
namang,naman
namatay,patay
naninigarilyo,sigarilyo
napipinto,pinto
nasa,nasa
nasabing,sabi
nasaktan,sakit
ng,ng
nga,nga
ngayong,ngayon
ni,ni
nito,nito
niya,niya
noong,noon
o,o
opisyal,opisyal
oras,oras
pa,pa
pag-aaral,aral
pag-ulan,ulan
pag-uusapan,usap
pagasa,asa
pagbaha,baha
pagbugso,bugso
paghirang,hirang
paglapag,lapag
paglipad,lipad
pagpili,pili
pagsisipsip,sipsip
paligid,ligid
pamahalaan,pamahala
pamilya,pamilya
pang,pa
pangalan,ngalan
pangangasiwa,siwa
paninigarilyo,sigarilyo
papalarin,palad
para,para
pasahero,pasahero
patuloy,tuloy
patungo,tungo
pinondohan,pondo
pinoy,pinoy
port,port
puwesto,puwesto
region,region
residenteng,residente
rin,din
sa,sa
saan,saan
sabagay,sabagay
sabi,sabi
samantalang,samantala
samar,samar
san,san
si,si
sila,sila
sina,sina
sinabi,sabi
sinasasabing,sabi
sino,sino
siya,siya
sorsogon,sorsogon
subalit,subalit
susunod,sunod
susuriin,suri
tabaco,tabaco
tabi,tabi
taglay,taglay
tanghali,tanghali
taon,taon
tatama,tama
tawagin,tawag
text,text
tingin,tingin
titingnan,tingin
tularan,tulad
tuwing,tuwing
ugaliing,ugali
umabot,abot
umangat,angat
umuugong,ugong
upang,upang
wala,wala
walang,wala
