"sa Hunyo 30",DATE
"sa Marso 2003",DATE
"Senado",LOCATION
"Ayon",PERSON
"Erap",PERSON
"Estrada",PERSON
"Idinagdag Villaignacio",PERSON
"Ito",PERSON
"Jinggoy",PERSON
"Kongreso",PERSON
"Magugunitang",PERSON
"Once the SC",PERSON
"P500,000",PERSON
"Samantala,",PERSON
"Sandiganbayan Special Division",PERSON
"Senator-elect Jose "Jinggoy" Estrada",PERSON
"Sinabi Villaignacio",PERSON
"Siniguro",PERSON
"Special Division",PERSON
"Special Prosecutor Dennis Villaignacio",PERSON
"Ulat Malou Rongalerios",PERSON
"Villaignacio",PERSON
"Walang",PERSON
"dating Pangulong Joseph Estrada",PERSON
