"May 14",DATE
"Bacoor",LOCATION
"Bacoor, Cavite",LOCATION
"Bgy",LOCATION
"Maynila,",LOCATION
"Metro Manila",LOCATION
"Padre Rada St. Tondo Manila",LOCATION
"Amboy at Wowie",PERSON
"Amboy",PERSON
"Ang",PERSON
"Ayon",PERSON
"Barangay Chairman Jaime Camacho",PERSON
"DILG Sec. Joey Lina,",PERSON
"Divisoria",PERSON
"Galit",PERSON
"Hindi",PERSON
"Isang",PERSON
"Isuzu Hi-Lander",PERSON
"Itong",PERSON
"Kapag",PERSON
"Kayo",PERSON
"Kona Bldg",PERSON
"Lito Tamayo",PERSON
"MaCity Hall at DILG",PERSON
"Madali",PERSON
"Mayor Castillo,",PERSON
"Mayor Jessie Castillo",PERSON
"Mayor",PERSON
"Mayor,",PERSON
"Mayors",PERSON
"P500",PERSON
"Paki-imbestiga",PERSON
"Paki-paliwanag",PERSON
"Pero",PERSON
"Peter Tamondong",PERSON
"Sa",PERSON
"Samantala",PERSON
"Siya",PERSON
"Station Commander",PERSON
"Station",PERSON
"Supt. Bernardo Diaz",PERSON
"Tamondong",PERSON
"Task Force Jericho",PERSON
"Tinangka",PERSON
"Tondo, Maynila",PERSON
"WKK-615",PERSON
"WPD District Director Nicolas Pacinos",PERSON
"WPD Station",PERSON
"WPD",PERSON
"Western Police District",PERSON
"Wowie",PERSON
"Zone",PERSON
